"Project name","Task name","Date","Start time","End time","Duration","Time zone","Project archived","Task completed"
"Listening",,"2022-01-01","21:17:55","23:27:58","02:10:03","-06:00","false",
"Anki",,"2022-01-02","00:29:42","00:39:07","00:09:25","-06:00","false",
"Listening",,"2022-01-02","23:35:17","23:59:59","00:24:42","-06:00","false",
"Anki",,"2022-01-03","00:17:28","00:28:01","00:10:33","-06:00","false",
"Listening",,"2022-01-03","20:53:12","21:19:47","00:26:35","-06:00","false",
"Anki",,"2022-01-03","21:39:53","21:46:27","00:06:34","-06:00","false",
"Reading",,"2022-01-03","22:19:13","22:50:03","00:30:50","-06:00","false",
"Listening",,"2022-01-04","19:21:05","19:56:31","00:35:26","-06:00","false",
"Listening",,"2022-01-04","20:03:06","20:36:23","00:33:17","-06:00","false",
"Anki",,"2022-01-05","00:33:08","00:43:08","00:10:00","-06:00","false",
"Anki",,"2022-01-06","00:34:35","00:41:11","00:06:36","-06:00","false",
"Anki",,"2022-01-06","18:37:04","18:41:05","00:04:01","-06:00","false",
"Listening",,"2022-01-06","23:51:11","23:59:59","00:08:48","-06:00","false",
"Listening",,"2022-01-07","00:00:00","00:08:02","00:08:02","-06:00","false",
"Listening",,"2022-01-07","00:09:40","00:32:06","00:22:26","-06:00","false",
"Anki",,"2022-01-07","00:36:36","00:40:22","00:03:46","-06:00","false",
"Anki",,"2022-01-08","00:44:41","00:49:44","00:05:03","-06:00","false",
"Anki",,"2022-01-08","11:52:44","11:58:37","00:05:53","-06:00","false",
"Listening",,"2022-01-08","21:05:23","21:36:24","00:31:01","-06:00","false",
"Listening",,"2022-01-08","21:38:12","22:08:46","00:30:34","-06:00","false",
"Listening",,"2022-01-09","20:37:58","21:08:09","00:30:11","-06:00","false",
"Listening",,"2022-01-09","21:25:34","21:48:19","00:22:45","-06:00","false",
"Anki",,"2022-01-09","22:25:25","23:26:29","01:01:04","-06:00","false",
"Listening",,"2022-01-10","21:24:03","21:50:02","00:25:59","-06:00","false",
"Anki",,"2022-01-10","21:50:23","21:56:13","00:05:50","-06:00","false",
"Anki",,"2022-01-10","21:56:57","22:11:21","00:14:24","-06:00","false",
"Anki",,"2022-01-11","08:40:41","08:51:51","00:11:10","-06:00","false",
"Reading",,"2022-01-11","19:07:21","20:16:03","01:08:42","-06:00","false",
"Listening",,"2022-01-11","20:26:27","20:43:02","00:16:35","-06:00","false",
"Listening",,"2022-01-11","21:24:59","21:40:38","00:15:39","-06:00","false",
"Anki",,"2022-01-12","07:10:10","07:18:22","00:08:12","-06:00","false",
"Listening",,"2022-01-12","18:41:31","18:41:33","00:00:02","-06:00","false",
"Listening",,"2022-01-12","18:43:09","18:43:26","00:00:17","-06:00","false",
"Listening",,"2022-01-12","18:46:09","20:09:55","01:23:46","-06:00","false",
"Listening",,"2022-01-12","20:29:47","21:01:51","00:32:04","-06:00","false",
"Listening",,"2022-01-12","21:02:08","21:31:42","00:29:34","-06:00","false",
"Anki",,"2022-01-13","00:00:32","00:05:54","00:05:22","-06:00","false",
"Anki",,"2022-01-13","20:22:25","20:35:00","00:12:35","-06:00","false",
"Listening",,"2022-01-13","21:06:05","21:15:59","00:09:54","-06:00","false",
"Anki",,"2022-01-14","21:38:30","21:56:29","00:17:59","-06:00","false",
"Reading",,"2022-01-14","22:00:00","22:50:00","00:50:00","-06:00","false",
"Anki",,"2022-01-15","11:00:25","11:17:16","00:16:51","-06:00","false",
"Reading",,"2022-01-15","11:20:01","12:35:06","01:15:05","-06:00","false",
"Anki",,"2022-01-16","11:01:41","11:34:29","00:32:48","-06:00","false",
"Reading",,"2022-01-16","11:34:32","11:44:26","00:09:54","-06:00","false",
"Listening",,"2022-01-17","08:10:57","08:15:14","00:04:17","-06:00","false",
"Anki",,"2022-01-17","17:47:27","18:07:15","00:19:48","-06:00","false",
"Listening",,"2022-01-17","18:57:39","19:32:23","00:34:44","-06:00","false",
"Listening",,"2022-01-17","19:49:58","21:17:16","01:27:18","-06:00","false",
"Listening",,"2022-01-17","21:30:29","22:11:33","00:41:04","-06:00","false",
"Anki",,"2022-01-17","23:05:31","23:05:37","00:00:06","-06:00","false",
"Reading",,"2022-01-17","23:18:04","23:23:32","00:05:28","-06:00","false",
"Reading",,"2022-01-17","23:23:35","23:29:22","00:05:47","-06:00","false",
"Anki",,"2022-01-18","20:01:29","20:12:07","00:10:38","-06:00","false",
"Listening",,"2022-01-18","20:22:42","20:49:45","00:27:03","-06:00","false",
"Anki",,"2022-01-18","22:29:55","22:37:17","00:07:22","-06:00","false",
"Listening",,"2022-01-18","23:02:39","23:59:59","00:57:20","-06:00","false",
"Listening",,"2022-01-19","00:00:00","00:05:15","00:05:15","-06:00","false",
"Anki",,"2022-01-19","21:52:49","22:13:58","00:21:09","-06:00","false",
"Listening",,"2022-01-19","22:15:43","22:50:56","00:35:13","-06:00","false",
"Anki",,"2022-01-20","18:10:21","18:16:43","00:06:22","-06:00","false",
"Anki",,"2022-01-20","18:55:39","19:20:54","00:25:15","-06:00","false",
"Listening",,"2022-01-20","19:39:41","19:45:09","00:05:28","-06:00","false",
"Listening",,"2022-01-20","21:58:27","22:21:22","00:22:55","-06:00","false",
"Listening",,"2022-01-20","22:24:15","22:38:15","00:14:00","-06:00","false",
"Anki",,"2022-01-21","18:04:15","18:32:08","00:27:53","-06:00","false",
"Listening",,"2022-01-21","18:46:09","18:59:47","00:13:38","-06:00","false",
"Listening",,"2022-01-21","19:02:41","19:19:48","00:17:07","-06:00","false",
"Listening",,"2022-01-21","19:47:23","19:48:31","00:01:08","-06:00","false",
"Anki",,"2022-01-22","17:58:06","18:06:28","00:08:22","-06:00","false",
"Anki",,"2022-01-22","18:45:38","18:53:11","00:07:33","-06:00","false",
"Reading",,"2022-01-22","19:30:36","20:00:40","00:30:04","-06:00","false",
"Reading",,"2022-01-22","20:00:58","20:35:04","00:34:06","-06:00","false",
"Listening",,"2022-01-22","20:35:04","20:36:35","00:01:31","-06:00","false",
"Listening",,"2022-01-22","20:36:38","20:39:27","00:02:49","-06:00","false",
"Listening",,"2022-01-22","20:40:32","20:44:38","00:04:06","-06:00","false",
"Listening",,"2022-01-22","20:48:45","20:49:41","00:00:56","-06:00","false",
"Reading",,"2022-01-22","20:52:04","21:09:10","00:17:06","-06:00","false",
"Anki",,"2022-01-23","11:02:52","11:21:32","00:18:40","-06:00","false",
"Anki",,"2022-01-23","11:32:11","11:32:15","00:00:04","-06:00","false",
"Anki",,"2022-01-24","20:27:08","20:37:21","00:10:13","-06:00","false",
"Anki",,"2022-01-24","22:47:55","23:01:14","00:13:19","-06:00","false",
"Anki",,"2022-01-25","21:48:03","22:02:20","00:14:17","-06:00","false",
